location,date,total_cases,new_cases,total_deaths,new_deaths,reproduction_rate,icu_patients,hosp_patients,total_tests,new_tests,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,population,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,life_expectancy
Bangladesh,2020-03-08,3.0,3.0,,,,,,,,,,,,,,169356251.0,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,72.59
Bangladesh,2020-03-09,3.0,0.0,,,,,,,,,,,,,,169356251.0,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,72.59
Bangladesh,2020-03-10,3.0,0.0,,,,,,,,,,,,,,169356251.0,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,72.59
Bangladesh,2020-03-11,3.0,0.0,,,,,,,,,,,,,,169356251.0,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,72.59
Bangladesh,2020-03-12,3.0,0.0,,,,,,,,,,,,,,169356251.0,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,72.59
Bangladesh,2020-03-13,3.0,0.0,,,,,,,,,,,,,,169356251.0,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,72.59
Bangladesh,2020-03-14,3.0,0.0,,,,,,,,,,,,,,169356251.0,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,72.59
Bangladesh,2020-03-15,5.0,2.0,,,,,,,,,,,,,,169356251.0,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,72.59
Bangladesh,2020-03-16,8.0,3.0,,,,,,,,,,,,,,169356251.0,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,72.59
Bangladesh,2020-03-17,10.0,2.0,,,,,,,,,,,,,,169356251.0,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,72.59
Bangladesh,2020-03-18,14.0,4.0,1.0,1.0,,,,,,,,,,,,169356251.0,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,72.59
Bangladesh,2020-03-19,17.0,3.0,1.0,0.0,,,,,,,,,,,,169356251.0,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,72.59
Bangladesh,2020-03-20,20.0,3.0,1.0,0.0,,,,,,,,,,,,169356251.0,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,72.59
Bangladesh,2020-03-21,25.0,5.0,2.0,1.0,,,,,,,,,,,,169356251.0,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,72.59
Bangladesh,2020-03-22,27.0,2.0,2.0,0.0,,,,,,,,,,,,169356251.0,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,72.59
Bangladesh,2020-03-23,33.0,6.0,3.0,1.0,,,,,,,,,,,,169356251.0,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,72.59
Bangladesh,2020-03-24,39.0,6.0,4.0,1.0,,,,,,,,,,,,169356251.0,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,72.59
Bangladesh,2020-03-25,39.0,0.0,5.0,1.0,,,,,,,,,,,,169356251.0,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,72.59
Bangladesh,2020-03-26,44.0,5.0,5.0,0.0,,,,,,,,,,,,169356251.0,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,72.59
Bangladesh,2020-03-27,48.0,4.0,5.0,0.0,,,,,,,,,,,,169356251.0,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,72.59
Bangladesh,2020-03-28,48.0,0.0,5.0,0.0,,,,,,,,,,,,169356251.0,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,72.59
Bangladesh,2020-03-29,48.0,0.0,5.0,0.0,,,,,,,,,,,,169356251.0,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,72.59
Bangladesh,2020-03-30,49.0,1.0,5.0,0.0,,,,,,,,,,,,169356251.0,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,72.59
Bangladesh,2020-03-31,51.0,2.0,5.0,0.0,,,,,,,,,,,,169356251.0,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,72.59
Bangladesh,2020-04-01,54.0,3.0,6.0,1.0,,,,,,,,,,,,169356251.0,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,72.59
Bangladesh,2020-04-02,56.0,2.0,6.0,0.0,,,,,,,,,,,,169356251.0,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,72.59
